ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
1100,10065000.0,10065000.08,0.0,Above the Line,Cuenta General,,,-0.0800000000745058
1200,9449620.0,9361342.31,0.0,Above the Line,Cuenta General,,,88277.68999999948
1300,2810543.88,2663850.5300000003,0.0,Above the Line,Cuenta General,,,146693.34999999963
1400,11960556.35,13899922.024999999,0.0,Above the Line,Cuenta General,,,-1939365.6749999989
1600,1416167.22,1188979.765,0.0,Above the Line,Cuenta General,,,227187.45500000007
2000,6668300.0,7144077.982,0.0,Below the Line,Cuenta General,,,-475777.98199999984
2100,1614000.0,2041865.6,0.0,Below the Line,Cuenta General,,,-427865.6000000001
2200,1825740.0,1857793.179,0.0,Below the Line,Cuenta General,,,-32053.179000000004
2300,1427550.0,951190.5660000001,0.0,Below the Line,Cuenta General,,,476359.4339999999
2400,5268025.0,5254387.157000001,0.0,Below the Line,Cuenta General,,,13637.842999999411
2500,1009000.0,1098245.021,0.0,Below the Line,Cuenta General,,,-89245.02099999995
2600,1115250.0,1298282.0,0.0,Below the Line,Cuenta General,,,-183032.0
2700,2972500.0,2967066.147,0.0,Below the Line,Cuenta General,,,5433.853000000119
2800,1208200.0,1159295.102,0.0,Below the Line,Cuenta General,,,48904.898000000045
2900,630386.75,363183.2,0.0,Below the Line,Cuenta General,,,267203.55
3000,1624361.46,1170276.94,0.0,Below the Line,Cuenta General,,,454084.52
3100,11484172.030000001,11595695.2,0.0,Below the Line,Cuenta General,,,-111523.16999999806
3200,1139000.0,1472577.4100000001,0.0,Below the Line,Cuenta General,,,-333577.41000000015
3300,165500.0,408200.0,0.0,Below the Line,Cuenta General,,,-242700.0
3400,15001515.11,12724039.845,0.0,Below the Line,Cuenta General,,,2277475.2649999987
3500,281000.0,299000.0,0.0,Below the Line,Cuenta General,,,-18000.0
3600,7591103.12,7730090.859,0.0,Below the Line,Cuenta General,,,-138987.73900000006
3700,810000.0,896400.0,0.0,Below the Line,Cuenta General,,,-86400.0
3800,747018.96,656977.98,0.0,Below the Line,Cuenta General,,,90040.97999999998
3900,5965292.71,5884214.414,0.0,Below the Line,Cuenta General,,,81078.29600000009
4100,1451938.3,1461546.561,0.0,Below the Line,Cuenta General,,,-9608.26099999994
5000,4891351.46,4889054.93,0.0,Post,Cuenta General,,,2296.5300000002608
5100,2206500.0,2159000.0,0.0,Post,Cuenta General,,,47500.0
5200,1843600.0,1866170.0,0.0,Post,Cuenta General,,,-22570.0
5300,80000.0,0.0,0.0,Post,Cuenta General,,,80000.0
5400,100000.0,35000.0,0.0,Post,Cuenta General,,,65000.0
6000,3833200.0,4291613.01,0.0,Post,Cuenta General,,,-458413.0099999998
6100,1452334.48,1250234.47,0.0,Post,Cuenta General,,,202100.01
7000,13503508.17,12895653.216,1073641.650000001,Others,Cuenta General,,,-465786.69600000046
7200,1485676.0,1371757.2650000001,0.0,Others,Cuenta General,,,113918.73499999987
1101,8340000.0,8340000.02,0.0,Above the Line,Sub cuenta,1100,,-0.019999999552965164
1104,150000.0,150000.0,0.0,Above the Line,Sub cuenta,1100,,0.0
1107,1100000.0,1100000.06,0.0,Above the Line,Sub cuenta,1100,,-0.060000000055879354
1122,250000.0,250000.0,0.0,Above the Line,Sub cuenta,1100,,0.0
1193,225000.0,225000.0,0.0,Above the Line,Sub cuenta,1100,,0.0
1201,5979120.0,5978554.41,0.0,Above the Line,Sub cuenta,1200,,565.589999999851
1202,1063000.0,1063000.0,0.0,Above the Line,Sub cuenta,1200,,0.0
1204,1050000.0,1053750.0,0.0,Above the Line,Sub cuenta,1200,,-3750.0
1222,564500.0,566000.0,0.0,Above the Line,Sub cuenta,1200,,-1500.0
1287,793000.0,700037.9,0.0,Above the Line,Sub cuenta,1200,,92962.09999999998
1301,2138352.0,2183856.08,0.0,Above the Line,Sub cuenta,1300,,-45504.080000000075
1302,259248.0,400994.44999999995,0.0,Above the Line,Sub cuenta,1300,,-141746.44999999995
1320,75000.0,79000.0,0.0,Above the Line,Sub cuenta,1300,,-4000.0
1387,205200.0,0.0,0.0,Above the Line,Sub cuenta,1300,,205200.0
1399,132743.88,0.0,0.0,Above the Line,Sub cuenta,1300,,132743.88
1401,7612289.0,8807210.2,0.0,Above the Line,Sub cuenta,1400,,-1194921.1999999993
1403,1240398.32,1491930.49,0.0,Above the Line,Sub cuenta,1400,,-251532.16999999993
1404,255106.0,107315.31,0.0,Above the Line,Sub cuenta,1400,,147790.69
1406,196425.0,274385.23,0.0,Above the Line,Sub cuenta,1400,,-77960.22999999998
1410,528052.0,715517.93,0.0,Above the Line,Sub cuenta,1400,,-187465.93000000005
1411,330002.0,137813.36,0.0,Above the Line,Sub cuenta,1400,,192188.64
1412,78000.0,0.0,0.0,Above the Line,Sub cuenta,1400,,78000.0
1413,309100.0,232300.0,0.0,Above the Line,Sub cuenta,1400,,76800.0
1420,381225.0,381243.0,0.0,Above the Line,Sub cuenta,1400,,-18.0
1426,33868.0,24858.657,0.0,Above the Line,Sub cuenta,1400,,9009.343
1480,170000.0,70000.0,0.0,Above the Line,Sub cuenta,1400,,100000.0
1487,8000.0,7577.139999999999,0.0,Above the Line,Sub cuenta,1400,,422.8600000000006
1499,818091.0300000001,1649770.708,0.0,Above the Line,Sub cuenta,1400,,-831679.678
1620,108000.0,96760.18,0.0,Above the Line,Sub cuenta,1600,,11239.820000000007
1621,229344.44,351513.03,0.0,Above the Line,Sub cuenta,1600,,-122168.59000000003
1630,50000.0,29006.690000000002,0.0,Above the Line,Sub cuenta,1600,,20993.309999999998
1631,95072.22,25745.03,0.0,Above the Line,Sub cuenta,1600,,69327.19
1640,209441.63,176920.023,0.0,Above the Line,Sub cuenta,1600,,32521.607000000018
1641,560513.3999999999,436616.12,0.0,Above the Line,Sub cuenta,1600,,123897.27999999991
1642,146500.0,71091.59,0.0,Above the Line,Sub cuenta,1600,,75408.41
1643,10500.0,770.212,0.0,Above the Line,Sub cuenta,1600,,9729.788
1699,6795.530000000001,556.89,0.0,Above the Line,Sub cuenta,1600,,6238.64
2001,520000.0,520000.0,0.0,Below the Line,Sub cuenta,2000,,0.0
2003,742500.0,785134.0,0.0,Below the Line,Sub cuenta,2000,,-42634.0
2004,551250.0,577500.0,0.0,Below the Line,Sub cuenta,2000,,-26250.0
2005,673500.0,683500.0,0.0,Below the Line,Sub cuenta,2000,,-10000.0
2006,90000.0,93750.0,0.0,Below the Line,Sub cuenta,2000,,-3750.0
2009,198200.0,209633.33000000002,0.0,Below the Line,Sub cuenta,2000,,-11433.330000000016
2010,726750.0,726750.0,0.0,Below the Line,Sub cuenta,2000,,0.0
2011,749500.0,749500.0,0.0,Below the Line,Sub cuenta,2000,,0.0
2013,491400.0,567000.0,0.0,Below the Line,Sub cuenta,2000,,-75600.0
2014,429000.0,443000.0,0.0,Below the Line,Sub cuenta,2000,,-14000.0
2017,237500.0,253500.0,0.0,Below the Line,Sub cuenta,2000,,-16000.0
2019,119000.0,142600.0,0.0,Below the Line,Sub cuenta,2000,,-23600.0
2020,619000.0,698220.55,0.0,Below the Line,Sub cuenta,2000,,-79220.55000000005
2030,307700.0,335700.0,0.0,Below the Line,Sub cuenta,2000,,-28000.0
2042,5000.0,9054.285,0.0,Below the Line,Sub cuenta,2000,,-4054.285
2045,148000.0,148500.0,0.0,Below the Line,Sub cuenta,2000,,-500.0
2080,60000.0,200735.81699999998,0.0,Below the Line,Sub cuenta,2000,,-140735.81699999998
2103,1322000.0,2041865.6,0.0,Below the Line,Sub cuenta,2100,,-719865.6000000001
2110,292000.0,0.0,0.0,Below the Line,Sub cuenta,2100,,292000.0
2201,598290.0,598290.0,0.0,Below the Line,Sub cuenta,2200,,0.0
2202,387450.0,387450.0,0.0,Below the Line,Sub cuenta,2200,,0.0
2203,151200.0,151200.0,0.0,Below the Line,Sub cuenta,2200,,0.0
2206,490000.0,511630.0,0.0,Below the Line,Sub cuenta,2200,,-21630.0
2213,163800.0,180400.0,0.0,Below the Line,Sub cuenta,2200,,-16600.0
2285,35000.0,28823.179,0.0,Below the Line,Sub cuenta,2200,,6176.821
2310,116550.0,129150.0,0.0,Below the Line,Sub cuenta,2300,,-12600.0
2311,125000.0,112566.2,0.0,Below the Line,Sub cuenta,2300,,12433.800000000003
2385,60000.0,91213.206,0.0,Below the Line,Sub cuenta,2300,,-31213.206000000006
2390,66000.0,62840.0,0.0,Below the Line,Sub cuenta,2300,,3160.0
2394,1000000.0,497019.69000000006,0.0,Below the Line,Sub cuenta,2300,,502980.30999999994
2398,60000.0,58401.47,0.0,Below the Line,Sub cuenta,2300,,1598.5299999999988
2401,788425.0,810743.33,0.0,Below the Line,Sub cuenta,2400,,-22318.329999999958
2402,88200.0,75600.0,0.0,Below the Line,Sub cuenta,2400,,12600.0
2403,358650.0,416746.66,0.0,Below the Line,Sub cuenta,2400,,-58096.659999999974
2405,301020.0,507605.83,0.0,Below the Line,Sub cuenta,2400,,-206585.83000000002
2485,144000.0,114287.72,0.0,Below the Line,Sub cuenta,2400,,29712.28
2490,120000.0,114000.0,0.0,Below the Line,Sub cuenta,2400,,6000.0
2494,3001630.0,2814999.5670000003,0.0,Below the Line,Sub cuenta,2400,,186630.43299999973
2495,366100.0,274470.2,0.0,Below the Line,Sub cuenta,2400,,91629.79999999999
2498,100000.0,125933.85,0.0,Below the Line,Sub cuenta,2400,,-25933.850000000006
2501,360500.0,360500.0,0.0,Below the Line,Sub cuenta,2500,,0.0
2502,111000.0,105800.0,0.0,Below the Line,Sub cuenta,2500,,5200.0
2508,102500.0,67840.75,0.0,Below the Line,Sub cuenta,2500,,34659.25
2585,85000.0,87729.117,0.0,Below the Line,Sub cuenta,2500,,-2729.1169999999984
2594,310000.0,469634.524,0.0,Below the Line,Sub cuenta,2500,,-159634.52399999998
2598,40000.0,6740.63,0.0,Below the Line,Sub cuenta,2500,,33259.37
2601,61900.0,82878.25,0.0,Below the Line,Sub cuenta,2600,,-20978.25
2602,660900.0,706353.75,0.0,Below the Line,Sub cuenta,2600,,-45453.75
